produt_name,produt_price,produt_img,produt_rating
"Samsung 55"" Class - Q8DT Series - 4K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,199.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9955080test-847__1&recipeName=350,Rated 4.6 out of 5 stars based on 3186 reviews.
"VIZIO 58"" Class - M-Series - 4K UHD LED LCD TV",$399.97,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=7586000-847__1&recipeName=350,Rated 4.1 out of 5 stars based on 1730 reviews.
"Samsung 65"" Class - QN9 Series - 4K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$2,399.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9865900test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 46 reviews.
"Samsung 55"" - AU800D Series - 4K UHD LED LCD TV",$599.99,none,Rated 5 out of 5 stars based on 1 reviews.
"Samsung 65"" Class - Q850T Series - 8K UHD QLED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,999.99",none,Rated 4.4 out of 5 stars based on 384 reviews.
"LG 82"" Class - UN8570 Series - 4K UHD LED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,449.99",none,Rated 4.6 out of 5 stars based on 342 reviews.
"LG 65"" Class - CX Series - 4K UHD OLED TV - $100 Allstate Protection Plan Bundle Included","$1,849.99",none,Rated 4.8 out of 5 stars based on 2474 reviews.
"Samsung 85"" Class - Q8 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$2,999.99",none,Rated 4.2 out of 5 stars based on 69 reviews.
"Samsung 65"" Class - Q7 Series - 4K UHD QLED LCD TV - Allstate Protection Plan Bundle Included","$1,399.99",none,Rated 4.5 out of 5 stars based on 171 reviews.
"Samsung 65"" Class - QN850 Series - 8K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$2,999.99",none,Rated 4.8 out of 5 stars based on 4 reviews.
"Samsung 65"" - AU800D Series - 4K UHD LED LCD TV",$799.99,none,Rated 4.5 out of 5 stars based on 49 reviews.
"VIZIO 75"" Class - PQ-Series - 4K Quantum LED LCD TV","$1,679.99",none,Rated 4.1 out of 5 stars based on 223 reviews.
"Hisense 65"" Class - R8F Series - ULED LED LCD TV",$549.97,none,Rated 4.3 out of 5 stars based on 269 reviews.
"Samsung 75"" Class - QN9 Series - 4K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$2,999.99",none,Rated 4.5 out of 5 stars based on 46 reviews.
"Sony 55"" Class - X90CJ Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$1,199.99",none,Rated 4.7 out of 5 stars based on 25 reviews.
"Sony 65"" Class - A80CJ Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$2,199.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9865080-847__1&recipeName=350,Rated 5 out of 5 stars based on 24 reviews.
"Sony 55"" Class - X75CH Series - 4K UHD LED LCD TV",$569.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9955750-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 868 reviews.
"Samsung 50"" Class - The Frame Series - 4K UHD QLED LCD TV - 12 Month Frame Art Store Subscription Credit Included","$1,199.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9850003test-847__1&recipeName=350,Rated 4.1 out of 5 stars based on 9 reviews.
"Samsung 65"" Class - The Frame Series - 4K UHD QLED LCD TV - 24 Month Frame Art Store Subscription Credit Included","$1,799.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9865003test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 27 reviews.
"Samsung 55"" Class - The Frame Series - 4K UHD QLED LCD TV - 24 Month Frame Art Store Subscription Credit Included","$1,299.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9855003test-847__1&recipeName=350,Rated 4 out of 5 stars based on 11 reviews.
"Samsung 75"" Class - The Frame Series - 4K UHD QLED LCD TV - 24 Month Frame Art Store Subscription Credit Included","$2,599.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875003test-847__1&recipeName=350,Rated 3.8 out of 5 stars based on 5 reviews.
"LG 55"" Class - UN7300 Series - 4K UHD LED LCD TV",$459.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9897355-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 2172 reviews.
"Samsung 55"" - TU700D Series - 4K UHD LED LCD TV",$449.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9955007test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 13293 reviews.
"Samsung 70"" - TU700D Series - 4K UHD LED LCD TV",$679.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9970007test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 13293 reviews.
"Samsung 75"" - AU800D Series - 4K UHD LED LCD TV","$1,099.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875008test-847__1&recipeName=350,Rated 4.5 out of 5 stars based on 49 reviews.
"Sony 75"" Class - X90CJ Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included","$2,099.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9875090-847__1&recipeName=350,Rated 4.4 out of 5 stars based on 11 reviews.
"Sony 77"" Class - A80CJ Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$3,499.99",https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&imageId=9877080-847__1&recipeName=350,Rated 4.7 out of 5 stars based on 38 reviews.
"SANUS Simplicity 37"" - 90"" Full-Motion TV Mount",$139.99,none,Rated 4.6 out of 5 stars based on 2363 reviews.
"Sony 85"" Class - X81CH Series - 4K UHD LED LCD TV","$1,999.99",none,Rated 5 out of 5 stars based on 3 reviews.
"Hisense 55"" Class  - R6 Series - 4K UHD LED LCD TV",$389.99,none,Rated 4.5 out of 5 stars based on 2799 reviews.
"LG 65"" Class - C1 Series - 4K UHD OLED TV - Allstate Protection Plan Bundle Included","$2,099.99",none,Rated 4.7 out of 5 stars based on 6 reviews.
"Sony 75"" Class - X81CH Series - 4K UHD LED LCD TV","$1,299.99",none,Rated 4.4 out of 5 stars based on 29 reviews.
"LG 55"" Class - NANO85 Series - 4K UHD LED LCD TV - Allstate Protection Plan Bundle Included",$899.99,none,Rated 4.3 out of 5 stars based on 10 reviews.
"LG 75"" Class - UN8570 Series - 4K UHD LED LCD TV",$949.99,none,Rated 4.6 out of 5 stars based on 1519 reviews.
"LG 86"" Class - UN8570 Series - 4K UHD LED LCD TV - $100 Allstate Protection Plan Bundle Included","$1,599.99",none,Rated 4.5 out of 5 stars based on 971 reviews.
"Samsung 55"" Class - QN85 Series - 4K UHD Neo QLED LCD TV - Allstate Protection Plan Bundle Included","$1,399.99",none,Rated 4.2 out of 5 stars based on 58 reviews.
"Samsung 43"" Class - The Frame Series - 4K UHD QLED LCD TV - 12 Month Frame Art Store Subscription Credit Included",$899.99,none,Rated 3.1 out of 5 stars based on 9 reviews.
